Date,Beach,Attendance
2023-07-20,Orchard Beach,20000
2023-06-13,Wolfe's Pond Beach,10
2024-06-25,Manhattan Beach,1250
2024-06-30,Cedar Grove Beach,63
2018-07-19,Coney Island Beach,77000
2020-08-17,Cedar Grove Beach,100
2021-06-22,Manhattan Beach,200
2021-07-08,Wolfe's Pond Beach,125
2024-09-01,Rockaway Beach,24000
2017-06-11,South Beach,7500
2017-08-09,Manhattan Beach,1150
2017-08-14,Cedar Grove Beach,20
2019-07-12,Rockaway Beach,25000
2019-08-03,Wolfe's Pond Beach,500
2023-05-28,Manhattan Beach,4250
2023-08-03,Midland Beach,816
2023-09-03,South Beach,3968
2023-06-02,Cedar Grove Beach,207
2024-08-17,Orchard Beach,39500
2017-08-06,Rockaway Beach,345
2017-08-28,Wolfe's Pond Beach,25
2019-07-15,Manhattan Beach,600
2019-07-20,Cedar Grove Beach,480
2020-07-30,Midland Beach,1350
2022-08-23,Coney Island Beach,1750
2022-08-06,Wolfe's Pond Beach,285
2018-06-13,Rockaway Beach,700
2018-07-10,South Beach,4600
2019-05-25,Orchard Beach,1800
2020-08-31,Wolfe's Pond Beach,500
2021-06-24,Cedar Grove Beach,35
2022-07-05,Midland Beach,550
2024-07-28,Coney Island Beach,25500
2017-06-19,Orchard Beach,900
2018-06-16,Manhattan Beach,3800
2018-06-21,Cedar Grove Beach,110
2018-08-22,Midland Beach,1300
2021-06-16,Rockaway Beach,36200
2021-07-25,Coney Island Beach,150250
2023-09-04,Wolfe's Pond Beach,469
2024-06-09,Midland Beach,1525
2017-07-02,Coney Island Beach,128000
2018-06-11,Wolfe's Pond Beach,75
2018-08-03,South Beach,3300
2020-05-26,Cedar Grove Beach,60
2021-06-01,Orchard Beach,2201
2021-08-16,Midland Beach,2171
2024-07-19,Manhattan Beach,750
2024-08-11,Rockaway Beach,75000
2018-07-18,Orchard Beach,2700
2018-08-13,Midland Beach,400
2019-06-07,Coney Island Beach,36700
2020-09-05,Manhattan Beach,4100
2021-08-06,South Beach,9066
2023-07-22,Midland Beach,3000
2017-09-02,Manhattan Beach,400
2019-07-10,Wolfe's Pond Beach,260
2019-09-01,South Beach,6600
2020-07-18,Midland Beach,6850
2022-06-30,Orchard Beach,8400
2022-08-11,Manhattan Beach,375
2022-09-03,Rockaway Beach,112000
2017-08-04,Wolfe's Pond Beach,450
2019-08-08,Manhattan Beach,1200
2020-07-25,Orchard Beach,48709
2021-09-06,Cedar Grove Beach,450
2022-06-23,Midland Beach,275
2018-05-31,Midland Beach,300
2019-08-29,Coney Island Beach,43000
2020-08-07,Wolfe's Pond Beach,70
2021-07-13,Manhattan Beach,200
2022-08-29,South Beach,475
2023-08-12,Cedar Grove Beach,77
2024-06-07,Orchard Beach,2200
2018-07-10,Manhattan Beach,1600
2019-06-10,South Beach,450
2019-06-21,Rockaway Beach,2750
2020-08-08,Cedar Grove Beach,200
2021-08-23,Orchard Beach,0
2022-06-13,Coney Island Beach,8650
2023-06-18,Manhattan Beach,3500
2024-05-29,Rockaway Beach,7500
2024-06-20,Wolfe's Pond Beach,186
2017-07-05,South Beach,800
2018-07-31,Coney Island Beach,28900
2019-08-19,Orchard Beach,3800
2020-06-14,Manhattan Beach,1400
2022-06-13,South Beach,750
2022-07-14,Cedar Grove Beach,355
2022-07-16,Wolfe's Pond Beach,335
2017-06-11,Manhattan Beach,7000
2017-07-13,Rockaway Beach,400
2018-08-31,Cedar Grove Beach,85
2020-07-05,Coney Island Beach,100250
2020-07-08,South Beach,1175
2023-08-01,Orchard Beach,5200
2024-08-19,Midland Beach,675
2024-06-18,Cedar Grove Beach,250
2018-08-14,Rockaway Beach,581500
2021-06-15,Cedar Grove Beach,145
2022-09-04,Coney Island Beach,241700
2023-07-23,Rockaway Beach,132000
2023-08-14,Wolfe's Pond Beach,64
2017-08-02,Cedar Grove Beach,125
2021-08-17,Rockaway Beach,8000
2021-09-08,Wolfe's Pond Beach,0
2022-08-26,South Beach,225
2023-07-06,South Beach,1637
2024-08-09,Coney Island Beach,4375
2024-08-10,Midland Beach,3600
2024-08-29,Orchard Beach,450
2019-07-08,Cedar Grove Beach,160
2022-06-24,Rockaway Beach,35000
2023-08-31,Manhattan Beach,450
2019-06-06,Orchard Beach,4800
2020-07-19,Rockaway Beach,155000
2022-09-02,Midland Beach,470
2023-07-12,Coney Island Beach,42000
2024-08-03,South Beach,2700
2017-07-01,Orchard Beach,76250
2018-06-09,Cedar Grove Beach,190
2019-06-19,Coney Island Beach,750
2019-06-20,Midland Beach,500
2020-05-28,Wolfe's Pond Beach,120
2022-06-04,South Beach,6100
2022-08-02,Manhattan Beach,1100
2024-05-28,Midland Beach,3300
2018-06-01,Rockaway Beach,1350
2018-06-23,Wolfe's Pond Beach,160
2019-08-20,South Beach,1750
2021-06-13,Orchard Beach,13565
2024-07-07,Manhattan Beach,3700
2017-07-12,Midland Beach,1350
2018-07-30,Orchard Beach,2700
2020-08-24,Manhattan Beach,2300
2021-06-26,Wolfe's Pond Beach,3700
2024-08-20,Rockaway Beach,5200
2024-06-16,Orchard Beach,56100
2017-08-21,Manhattan Beach,1200
2019-07-22,Wolfe's Pond Beach,160
2022-07-12,Orchard Beach,4352
2023-06-09,Manhattan Beach,350
2024-08-28,Cedar Grove Beach,205
2017-07-03,Midland Beach,17600
2017-07-07,Cedar Grove Beach,280
2019-08-28,Orchard Beach,55
2020-06-30,Wolfe's Pond Beach,300
2020-08-06,Orchard Beach,3738
2021-08-15,Coney Island Beach,25500
2021-08-20,Manhattan Beach,500
2022-06-11,Midland Beach,2200
2023-07-27,South Beach,1336
2018-07-26,Wolfe's Pond Beach,100
2018-08-12,Coney Island Beach,46000
2018-08-17,Manhattan Beach,1600
2019-06-08,Midland Beach,5000
2019-06-12,Cedar Grove Beach,75
2023-08-10,Orchard Beach,1300
2023-07-26,Manhattan Beach,1900
2024-05-30,Coney Island Beach,3375
2018-06-02,South Beach,4600
2020-07-17,Coney Island Beach,1750
2020-07-22,Manhattan Beach,1600
2021-09-04,Orchard Beach,48500
2022-06-08,Wolfe's Pond Beach,88
2017-06-05,Rockaway Beach,600
2017-07-14,Coney Island Beach,278000
2017-07-19,Manhattan Beach,4400
2019-08-24,Wolfe's Pond Beach,840
2022-06-22,Coney Island Beach,350
2022-06-27,Manhattan Beach,110
2023-08-28,Rockaway Beach,17500
2018-07-07,Rockaway Beach,85000
2019-06-24,Manhattan Beach,550
2019-08-30,Midland Beach,1150
2020-07-20,South Beach,2500
2023-06-15,Rockaway Beach,5400
2023-07-07,Wolfe's Pond Beach,130
2024-08-21,Coney Island Beach,9300
2024-06-01,Manhattan Beach,1550
2018-08-15,South Beach,9900
2021-05-29,Manhattan Beach,10
2021-07-10,Rockaway Beach,0
2021-08-01,Wolfe's Pond Beach,4000
2021-08-04,Midland Beach,650
2022-08-28,Cedar Grove Beach,206
2024-06-02,South Beach,2500
2018-05-26,Manhattan Beach,5000
2018-08-01,Midland Beach,1250
2019-08-25,Cedar Grove Beach,110
2021-08-18,South Beach,1950
2023-07-24,Coney Island Beach,30000
2023-07-10,Midland Beach,1859
2024-08-02,Cedar Grove Beach,155
2024-08-04,Wolfe's Pond Beach,150
2020-06-11,Rockaway Beach,1700
2020-07-06,Midland Beach,850
2021-07-30,Cedar Grove Beach,225
2022-08-30,Wolfe's Pond Beach,50
2017-07-14,South Beach,5100
2019-06-18,Orchard Beach,35
2020-05-27,Orchard Beach,3474
2020-09-02,Rockaway Beach,6000
2021-06-05,Coney Island Beach,22000
2022-09-09,Manhattan Beach,450
2023-07-01,Midland Beach,2215
2023-07-05,Cedar Grove Beach,233
2024-08-15,South Beach,1085
2017-07-13,Orchard Beach,0
2019-08-18,Midland Beach,5000
2020-07-01,Cedar Grove Beach,170
2023-05-31,Orchard Beach,3200
2023-09-06,Rockaway Beach,73000
2024-08-14,Manhattan Beach,520
2019-06-22,South Beach,4200
2019-08-05,Rockaway Beach,22500
2021-06-25,Orchard Beach,3050
2021-07-23,Midland Beach,3900
2022-06-06,Cedar Grove Beach,80
2024-07-13,Rockaway Beach,12000
2017-08-30,Rockaway Beach,10500
2018-07-20,Midland Beach,7200
2018-07-24,Cedar Grove Beach,180
2018-08-11,Orchard Beach,190
2019-06-14,Wolfe's Pond Beach,255
2022-06-25,South Beach,5300
2022-08-08,Rockaway Beach,11000
2023-07-17,Manhattan Beach,1400
2024-06-28,Orchard Beach,4900
2017-06-17,Rockaway Beach,2500
2017-07-09,Wolfe's Pond Beach,90
2018-08-24,Coney Island Beach,66000
2019-09-03,Manhattan Beach,650
2022-07-24,Orchard Beach,24500
2023-08-02,Coney Island Beach,26500
2017-06-25,Cedar Grove Beach,350
2020-07-12,Wolfe's Pond Beach,1200
2020-07-29,Coney Island Beach,13000
2020-08-18,Orchard Beach,3463
2021-08-08,Manhattan Beach,800
2022-08-24,Midland Beach,420
2018-08-05,Manhattan Beach,9500
2018-08-07,Wolfe's Pond Beach,250
2019-05-31,Cedar Grove Beach,160
2022-07-04,Coney Island Beach,1015500
2022-09-07,South Beach,260
2023-08-22,Orchard Beach,5350
2024-05-25,Wolfe's Pond Beach,630
2024-07-29,Midland Beach,525
2019-07-01,Coney Island Beach,28000
2020-07-10,Manhattan Beach,51
2021-08-10,Wolfe's Pond Beach,1100
2024-06-08,Coney Island Beach,22800
2022-07-18,Rockaway Beach,7500
2023-09-10,Midland Beach,1400
2019-07-13,South Beach,28500
2020-09-06,Midland Beach,3000
2017-06-15,Wolfe's Pond Beach,160
2017-08-07,South Beach,625
2017-09-07,Cedar Grove Beach,0
2020-06-05,Orchard Beach,218
2020-08-09,Rockaway Beach,102000
2022-08-16,Cedar Grove Beach,175
2022-08-12,Midland Beach,550
2024-09-04,Manhattan Beach,225
2018-06-01,Orchard Beach,1150
2019-08-13,Cedar Grove Beach,115
2021-06-20,South Beach,9160
2021-08-27,Coney Island Beach,170000
2021-09-01,Manhattan Beach,150
2024-06-22,Rockaway Beach,90000
2024-07-17,Midland Beach,540
2024-07-21,Cedar Grove Beach,826
2017-08-04,Coney Island Beach,76000
2018-07-14,Wolfe's Pond Beach,500
2018-08-29,Manhattan Beach,4500
2020-06-24,Midland Beach,1150
2021-07-18,Cedar Grove Beach,150
2023-08-07,Manhattan Beach,400
2024-09-13,Rockaway Beach,0
2017-05-27,Rockaway Beach,6000
2017-06-21,Midland Beach,700
2018-07-15,Cedar Grove Beach,100
2019-06-30,Orchard Beach,62500
2020-08-03,Manhattan Beach,1100
2022-05-30,Midland Beach,8500
2023-08-08,South Beach,950
2023-06-23,Cedar Grove Beach,0
2017-07-25,Orchard Beach,2500
2019-05-27,Midland Beach,10800
2020-06-19,Cedar Grove Beach,140
2020-06-21,Wolfe's Pond Beach,410
2022-07-09,Manhattan Beach,4100
2023-06-12,Orchard Beach,600
2023-08-16,Rockaway Beach,78300
2017-09-06,Wolfe's Pond Beach,0
2018-06-11,Coney Island Beach,45600
2018-06-14,South Beach,1650
2019-07-06,Manhattan Beach,900
2021-09-10,Rockaway Beach,8500
2023-06-25,Wolfe's Pond Beach,60
2024-09-02,Coney Island Beach,36500
2024-09-05,South Beach,800
2024-06-13,Manhattan Beach,350
2018-07-08,Midland Beach,8900
2018-08-23,Orchard Beach,8200
2020-08-10,Coney Island Beach,27850
2021-06-10,Manhattan Beach,650
2021-06-28,Rockaway Beach,38200
2021-07-20,Wolfe's Pond Beach,2500
2022-07-07,South Beach,425
2024-07-10,Orchard Beach,2150
2017-07-28,Manhattan Beach,600
2019-07-24,Rockaway Beach,8000
2019-08-15,Wolfe's Pond Beach,210
2020-06-12,Midland Beach,1100
2020-08-01,South Beach,7000
2022-07-16,Coney Island Beach,100950
2022-08-05,Orchard Beach,5430
2024-07-23,Wolfe's Pond Beach,200
2017-06-09,Midland Beach,700
2017-06-13,Cedar Grove Beach,225
2020-05-30,Rockaway Beach,40000
2022-08-18,Wolfe's Pond Beach,140
2023-09-05,Cedar Grove Beach,0
2024-06-14,South Beach,925
2024-06-20,Coney Island Beach,9900
2018-06-25,Rockaway Beach,18500
2021-06-17,Coney Island Beach,9500
2021-08-30,South Beach,1230
2023-09-03,Orchard Beach,80300
2023-06-03,Rockaway Beach,7000
2018-06-04,Manhattan Beach,225
2021-07-14,Midland Beach,1125
2024-07-04,Rockaway Beach,145000
2024-08-26,Manhattan Beach,650
2017-07-26,South Beach,750
2017-08-31,Midland Beach,3700
2018-06-10,Orchard Beach,10525
2023-06-19,Midland Beach,1523
2024-07-12,Cedar Grove Beach,150
2017-08-18,Rockaway Beach,203000
2019-06-02,Wolfe's Pond Beach,375
2019-08-06,Midland Beach,8600
2020-08-29,Cedar Grove Beach,30
2021-06-08,South Beach,1500
2021-09-08,Coney Island Beach,4500
2022-07-27,Rockaway Beach,26500
2017-06-27,Wolfe's Pond Beach,250
2017-08-26,Cedar Grove Beach,325
2018-08-24,South Beach,4400
2020-06-17,Orchard Beach,1710
2020-08-21,Rockaway Beach,43000
2022-08-04,Cedar Grove Beach,365
2023-08-14,Coney Island Beach,40500
2017-08-03,Orchard Beach,2150
2019-07-22,Coney Island Beach,6000
2021-08-11,Midland Beach,2560
2021-09-12,Rockaway Beach,105200
2024-05-26,South Beach,2500
2018-08-08,Midland Beach,9500
2019-05-26,Wolfe's Pond Beach,470
2021-07-16,Orchard Beach,26800
2021-08-11,South Beach,4790
2024-05-26,Midland Beach,1950
2017-06-20,Wolfe's Pond Beach,130
2018-06-23,Coney Island Beach,37200
2019-07-12,Orchard Beach,3500
2019-09-06,South Beach,700
2020-07-13,Midland Beach,1300
2020-08-14,Rockaway Beach,15500
2022-08-16,Manhattan Beach,625
2017-07-10,Midland Beach,1300
2019-08-13,Manhattan Beach,220
2020-05-28,Coney Island Beach,4100
2020-06-23,Wolfe's Pond Beach,500
2021-09-01,Cedar Grove Beach,45
2022-06-18,Midland Beach,2650
2023-06-24,Orchard Beach,525
2023-08-18,Rockaway Beach,17000
2023-07-20,South Beach,1260
2024-07-21,Manhattan Beach,1500
2018-06-27,Rockaway Beach,5500
2018-07-19,Wolfe's Pond Beach,750
2018-08-29,Cedar Grove Beach,150
2021-07-18,Manhattan Beach,2700
2022-07-28,Coney Island Beach,12200
2023-08-07,Cedar Grove Beach,46
2024-08-17,Midland Beach,2000
2017-09-04,Manhattan Beach,700
2018-08-05,South Beach,12500
2020-08-03,Cedar Grove Beach,165
2021-07-22,Wolfe's Pond Beach,1100
2023-06-23,Manhattan Beach,150
2024-07-02,Coney Island Beach,13500
2024-07-22,Orchard Beach,2200
2017-05-29,Rockaway Beach,900
2017-07-31,Cedar Grove Beach,225
2019-08-17,Wolfe's Pond Beach,340
2020-06-19,Manhattan Beach,1100
2021-06-29,Coney Island Beach,95000
2022-06-18,South Beach,3050
2022-07-09,Cedar Grove Beach,592
2023-07-20,Midland Beach,1055
2017-08-16,Coney Island Beach,20000
2019-07-06,Cedar Grove Beach,150
2019-09-06,Midland Beach,625
2020-07-13,South Beach,2500
2023-06-04,Coney Island Beach,30500
2023-06-30,Wolfe's Pond Beach,163
2018-07-12,Manhattan Beach,950
2021-06-10,Cedar Grove Beach,35
2021-07-03,Rockaway Beach,1500
2022-08-31,Midland Beach,260
2018-06-07,Cedar Grove Beach,10
2019-07-29,Rockaway Beach,21500
2022-08-31,South Beach,430
2024-07-06,Rockaway Beach,27000
2024-08-05,Midland Beach,1000
2024-07-28,Wolfe's Pond Beach,2400
2017-06-13,Manhattan Beach,1900
2018-06-22,Orchard Beach,1658
2020-06-04,Rockaway Beach,15000
2021-08-02,Midland Beach,1550
2022-08-23,Wolfe's Pond Beach,90
2023-08-26,Coney Island Beach,37500
2017-07-07,South Beach,4350
2017-08-20,Rockaway Beach,63000
2022-06-04,Orchard Beach,44001
2023-06-08,Rockaway Beach,1000
2023-07-08,Midland Beach,1610
2019-06-15,Midland Beach,4000
2019-07-21,Orchard Beach,60000
2020-06-29,Orchard Beach,5749
2021-07-08,Coney Island Beach,22500
2021-07-30,South Beach,8065
2023-08-30,Rockaway Beach,9000
2024-08-26,Cedar Grove Beach,285
2017-08-15,Orchard Beach,45550
2018-07-05,Coney Island Beach,49000
2019-08-25,South Beach,2850
2023-07-03,Orchard Beach,4600
2023-09-02,Manhattan Beach,2500
2019-06-07,Wolfe's Pond Beach,270
2020-06-09,Coney Island Beach,26300
2020-08-29,Manhattan Beach,110
2021-07-28,Orchard Beach,3600
2022-08-01,Rockaway Beach,4100
2022-08-28,South Beach,380
2023-07-08,South Beach,1865
2023-07-29,Cedar Grove Beach,339
2017-06-06,Coney Island Beach,1650
2017-07-02,Wolfe's Pond Beach,270
2017-08-26,Manhattan Beach,1600
2020-08-26,Rockaway Beach,13200
2022-06-10,Wolfe's Pond Beach,80
2022-08-04,Manhattan Beach,1200
2017-06-28,Midland Beach,1250
2017-07-07,Manhattan Beach,5100
2017-07-30,Rockaway Beach,30500
2021-08-20,Cedar Grove Beach,40
2022-06-15,Manhattan Beach,800
2022-07-08,Rockaway Beach,3500
2022-07-30,Wolfe's Pond Beach,205
2022-08-26,Orchard Beach,2700
2023-08-01,South Beach,2105
2024-07-14,Coney Island Beach,27500
2018-08-17,Cedar Grove Beach,180
2019-06-03,Midland Beach,650
2019-06-12,Manhattan Beach,250
2020-08-02,Rockaway Beach,7400
2020-08-24,Wolfe's Pond Beach,250
2020-08-31,Coney Island Beach,8100
2024-06-04,Cedar Grove Beach,170
2017-08-28,Coney Island Beach,450
2018-06-07,South Beach,870
2020-07-22,Cedar Grove Beach,200
2021-06-09,Rockaway Beach,9000
2023-06-16,Coney Island Beach,7500
2023-08-28,Wolfe's Pond Beach,75
2024-08-29,South Beach,600
2024-08-03,Orchard Beach,32000
2017-07-19,Cedar Grove Beach,230
2019-07-05,Rockaway Beach,42000
2019-08-03,Coney Island Beach,97000
2021-06-10,South Beach,890
2022-06-27,Cedar Grove Beach,47
2019-06-24,Cedar Grove Beach,23500
2019-08-25,Midland Beach,2100
2017-06-05,Orchard Beach,150
2017-06-08,Wolfe's Pond Beach,65
2021-05-29,Cedar Grove Beach,0
2022-06-09,Midland Beach,570
2022-08-28,Manhattan Beach,2400
2023-09-07,Coney Island Beach,18000
2023-08-09,Rockaway Beach,52500
2024-06-07,South Beach,2200
2018-05-26,Cedar Grove Beach,165
2018-07-27,Midland Beach,3650
2018-08-28,Rockaway Beach,48
2021-08-23,South Beach,0
2024-06-15,Rockaway Beach,107000
2024-08-02,Manhattan Beach,700
2018-07-04,Orchard Beach,67018
2018-07-07,Wolfe's Pond Beach,500
2020-07-01,Midland Beach,3400
2021-07-30,Manhattan Beach,1350
2021-08-31,Rockaway Beach,22100
2017-07-19,South Beach,1900
2017-09-07,Midland Beach,750
2018-07-17,Coney Island Beach,6000
2022-06-16,Orchard Beach,350
2023-06-25,Coney Island Beach,82000
2023-07-05,Manhattan Beach,1800
2023-06-26,Midland Beach,135
2019-08-02,Orchard Beach,1900
2019-08-05,Wolfe's Pond Beach,300
2019-08-22,Manhattan Beach,1250
2020-05-23,Rockaway Beach,400
2020-06-21,Coney Island Beach,126000
2020-06-22,Midland Beach,2250
2020-07-11,Orchard Beach,3022
2021-06-01,South Beach,650
2024-08-14,Cedar Grove Beach,230
2017-08-27,Orchard Beach,1750
2017-08-30,Wolfe's Pond Beach,40
2018-08-17,South Beach,7600
2021-08-11,Cedar Grove Beach,220
2022-05-28,Midland Beach,375
2022-06-06,Manhattan Beach,600
2023-07-15,Orchard Beach,37500
2023-06-18,Wolfe's Pond Beach,350
2018-07-15,Midland Beach,18500
2018-07-24,Manhattan Beach,1200
2021-07-13,Wolfe's Pond Beach,1800
2021-08-09,Orchard Beach,3300
2022-06-30,South Beach,2425
2023-07-17,Cedar Grove Beach,294
2024-09-06,Rockaway Beach,4333
2019-07-17,Rockaway Beach,11000
2019-09-03,Cedar Grove Beach,0
2020-06-28,Manhattan Beach,2800
2024-06-24,Rockaway Beach,6500
2024-07-16,Wolfe's Pond Beach,325
2024-08-12,Orchard Beach,3800
2017-06-25,Manhattan Beach,5500
2017-08-11,Rockaway Beach,13600
2017-09-09,Coney Island Beach,6000
2018-05-26,South Beach,8000
2022-06-18,Cedar Grove Beach,125
2022-07-20,Rockaway Beach,65500
2022-08-18,Coney Island Beach,6875
2022-08-19,Midland Beach,370
2022-08-11,Wolfe's Pond Beach,125
2022-09-07,Orchard Beach,2200
2024-08-17,South Beach,2350
2018-06-18,Rockaway Beach,80000
2018-08-05,Cedar Grove Beach,750
2019-05-31,Manhattan Beach,1100
2019-08-15,Coney Island Beach,9500
2019-08-16,Midland Beach,1200
2020-09-05,Wolfe's Pond Beach,3600
2023-05-27,Rockaway Beach,50000
2024-07-24,Midland Beach,500
2019-06-24,South Beach,950
2020-07-10,Cedar Grove Beach,0
2021-06-21,Rockaway Beach,6500
2021-07-20,Coney Island Beach,112800
2021-07-21,Midland Beach,2189
2023-09-09,Wolfe's Pond Beach,0
2017-06-27,Coney Island Beach,6700
2019-08-19,Rockaway Beach,45000
2020-05-26,Manhattan Beach,485
2021-06-22,South Beach,700
2023-09-05,Midland Beach,1025
2024-07-19,Cedar Grove Beach,475
2019-07-18,South Beach,900
2020-09-01,Midland Beach,1900
2020-09-05,Cedar Grove Beach,550
2023-07-02,Rockaway Beach,30000
2017-06-17,Orchard Beach,550
2017-08-12,South Beach,6300
2017-08-29,Midland Beach,1350
2017-09-02,Cedar Grove Beach,25
2018-07-21,Rockaway Beach,25800
2022-07-21,South Beach,750
2022-08-07,Midland Beach,2200
2023-05-31,South Beach,480
2023-06-21,Cedar Grove Beach,140
2018-05-30,Wolfe's Pond Beach,15
2019-08-04,Midland Beach,15000
2019-08-08,Cedar Grove Beach,220
2020-08-15,South Beach,6700
2021-05-30,Orchard Beach,125
2021-07-24,Rockaway Beach,118800
2021-09-06,Manhattan Beach,2300
2024-07-12,Midland Beach,285
2024-07-26,Coney Island Beach,28000
2018-07-16,Orchard Beach,12200
2020-07-03,Coney Island Beach,21000
2021-07-13,Cedar Grove Beach,10
2022-08-25,Rockaway Beach,40000
2023-08-12,Manhattan Beach,3000
2024-06-02,Orchard Beach,36200
2017-06-16,Midland Beach,250
2018-07-10,Cedar Grove Beach,400
2019-06-28,Wolfe's Pond Beach,375
2022-06-08,Coney Island Beach,2050
2022-06-28,Orchard Beach,5700
2023-08-13,South Beach,1695
2017-07-23,Wolfe's Pond Beach,25
2019-08-14,Orchard Beach,350
2020-05-24,South Beach,1125
2020-06-14,Cedar Grove Beach,200
2022-07-14,Manhattan Beach,975
2017-06-11,Cedar Grove Beach,450
2017-09-08,Orchard Beach,3750
2018-06-19,South Beach,2250
2018-08-31,Manhattan Beach,200
2021-06-05,Wolfe's Pond Beach,2200
2023-07-27,Orchard Beach,7600
2024-06-18,Manhattan Beach,775
2024-07-30,Rockaway Beach,10000
2018-08-21,Wolfe's Pond Beach,80
2019-06-09,Rockaway Beach,100000
2020-08-05,Manhattan Beach,1000
2021-08-21,Orchard Beach,6000
2022-07-12,South Beach,1100
2022-08-30,Coney Island Beach,48750
2024-06-08,Wolfe's Pond Beach,2950
2017-07-04,Rockaway Beach,41000
2017-08-02,Manhattan Beach,1350
2019-08-27,Coney Island Beach,1200
2022-06-12,Rockaway Beach,1500
2022-07-04,Wolfe's Pond Beach,450
2024-08-04,Coney Island Beach,12500
2024-08-24,Orchard Beach,37000
2017-06-04,Midland Beach,2900
2019-07-08,Manhattan Beach,250
2020-07-29,Wolfe's Pond Beach,350
2021-08-01,Coney Island Beach,113500
2023-08-27,Midland Beach,2550
2023-08-31,Cedar Grove Beach,144
2024-06-19,South Beach,2500
2020-08-27,Cedar Grove Beach,130
2021-06-12,Manhattan Beach,650
2023-07-07,Coney Island Beach,85000
2023-08-02,Wolfe's Pond Beach,196
2017-06-26,Orchard Beach,350
2018-06-09,Manhattan Beach,2000
2019-06-14,Coney Island Beach,11100
2019-07-06,South Beach,3950
2021-07-09,Midland Beach,605
2021-08-05,Rockaway Beach,30500
2021-08-27,Wolfe's Pond Beach,250
2022-08-02,Cedar Grove Beach,177
2017-07-31,South Beach,7100
2018-07-06,Midland Beach,1700
2019-08-31,Rockaway Beach,105000
2021-06-08,Orchard Beach,1106
2023-06-14,Midland Beach,154
2024-07-07,Cedar Grove Beach,632
2024-08-30,Wolfe's Pond Beach,150
2019-06-04,Orchard Beach,335
2020-06-10,Midland Beach,875
2020-07-07,Rockaway Beach,6400
2020-08-03,South Beach,3975
2021-07-04,Cedar Grove Beach,175
2017-08-21,Cedar Grove Beach,125
2018-08-02,Rockaway Beach,17500
2018-08-29,South Beach,6600
2023-07-11,Rockaway Beach,93000
2023-06-09,Cedar Grove Beach,65
2024-08-28,Manhattan Beach,2275
2019-07-23,Midland Beach,250
2019-07-27,Cedar Grove Beach,480
2019-08-01,Manhattan Beach,800
2020-06-13,Rockaway Beach,20200
2020-07-05,Wolfe's Pond Beach,525
2020-08-01,Orchard Beach,37429
2020-08-27,South Beach,2750
2022-06-20,Coney Island Beach,22680
2024-07-09,Manhattan Beach,925
2018-07-09,Rockaway Beach,28500
2018-07-28,Orchard Beach,9500
2018-07-31,Wolfe's Pond Beach,450
2018-08-07,Coney Island Beach,18500
2021-06-27,Midland Beach,7700
2021-07-06,Manhattan Beach,4300
2024-07-10,South Beach,955
2024-06-14,Orchard Beach,2700
2024-05-25,Coney Island Beach,7500
2018-06-24,Midland Beach,2000
2018-06-28,Cedar Grove Beach,10
2018-07-03,Manhattan Beach,2500
2021-08-03,Wolfe's Pond Beach,1300
2022-07-10,Orchard Beach,59500
2023-06-11,Manhattan Beach,2050
2023-06-02,Midland Beach,785
2017-06-10,Rockaway Beach,205450
2017-07-09,Coney Island Beach,23000
2019-08-26,Orchard Beach,2100
2019-08-29,Wolfe's Pond Beach,215
2020-05-29,Midland Beach,535
2020-06-02,Cedar Grove Beach,25
2020-06-07,Manhattan Beach,2100
2017-05-30,Cedar Grove Beach,23
2017-08-21,South Beach,2900
2017-09-01,Rockaway Beach,3200
2022-09-01,Wolfe's Pond Beach,165
2023-08-08,Orchard Beach,800
2023-06-20,Rockaway Beach,8500
2024-08-16,Coney Island Beach,22000
2021-07-04,South Beach,20183
2021-07-15,Rockaway Beach,50600
2021-08-13,Coney Island Beach,186000
2024-07-03,Midland Beach,3150
2019-07-30,South Beach,1750
2020-08-20,Midland Beach,2000
2023-07-19,Coney Island Beach,22000
2024-08-09,Wolfe's Pond Beach,150
2024-09-05,Orchard Beach,590
2017-06-01,Manhattan Beach,1100
2017-08-17,Midland Beach,270
2019-08-07,Rockaway Beach,2850
2022-07-26,Midland Beach,550
2022-08-02,South Beach,1050
2023-08-24,Manhattan Beach,140
2023-06-12,South Beach,565
2023-08-19,Cedar Grove Beach,292
2019-06-13,Orchard Beach,75
2020-08-15,Cedar Grove Beach,350
2020-09-07,Rockaway Beach,126400
2021-05-31,Coney Island Beach,16200
2017-07-08,Orchard Beach,103000
2017-07-11,Wolfe's Pond Beach,150
2018-05-28,Coney Island Beach,11500
2022-07-21,Cedar Grove Beach,140
2022-07-17,Midland Beach,1000
2019-07-18,Cedar Grove Beach,150
2021-06-20,Orchard Beach,65500
2024-06-21,Midland Beach,1225
2024-06-25,Cedar Grove Beach,260
2024-06-30,Manhattan Beach,650
2024-07-18,Rockaway Beach,20000
2018-08-06,Orchard Beach,9000
2019-06-19,Wolfe's Pond Beach,40
2020-06-05,South Beach,525
2020-08-08,Midland Beach,2415
2020-08-17,Manhattan Beach,600
2021-06-22,Cedar Grove Beach,32
2022-08-13,Rockaway Beach,100000
2022-09-11,Coney Island Beach,4000
2024-05-27,Wolfe's Pond Beach,425
2017-06-22,Rockaway Beach,36000
2017-08-09,Cedar Grove Beach,140
2017-08-14,Manhattan Beach,500
